customer_id,sex_at_birth,occupation,employment_type,education,completed_years_of_education,marital_status,relationship_in_household,race,country,type_of_client,quantity,total_spending,total_invoice
103349806,F,Other-service,Private,HS-grad,9,Divorced,Not-in-family,Black,America,Wholesaler,281,533.00,112
103500560,F,Priv-house-serv,Private,5th-6th,3,Married-spouse-absent,Not-in-family,White,America,NULL,445,849.41,24
105860506,M,Machine-op-inspct,Private,HS-grad,9,Never-married,Not-in-family,White,America,NULL,17,68.39,6
107386571,F,Adm-clerical,Private,Some-college,10,Never-married,Own-child,White,America,NULL,156,651.98,36
109196027,M,Handlers-cleaners,Private,HS-grad,9,Never-married,Unmarried,White,America,NULL,300,780.58,27
110316358,M,Craft-repair,Private,9th,5,Married-civ-spouse,Husband,White,America,NULL,26,52.80,4
111766643,F,Adm-clerical,Private,HS-grad,9,Divorced,Unmarried,White,America,Wholesaler,397,1076.52,14
112110395,M,Craft-repair,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Husband,White,America,NULL,293,956.70,157
116580881,M,Sales,Self-emp-inc,HS-grad,9,Married-civ-spouse,Husband,White,America,NULL,178,424.66,69
117037480,M,Craft-repair,Private,Some-college,10,Married-civ-spouse,Husband,White,America,NULL,246,805.81,41
118111259,M,Sales,Private,Some-college,10,Never-married,Own-child,White,America,NULL,43,62.21,21
120896589,M,?,?,Some-college,10,Married-civ-spouse,Husband,White,America,Wholesaler,1015,1648.17,45
123187429,F,Other-service,Private,HS-grad,9,Divorced,Own-child,Asian-Pac-Islander,Rest_world,Personal,16,94.04,10
124992952,M,Craft-repair,Private,Some-college,10,Married-civ-spouse,Husband,White,America,NULL,119,255.43,60
125555415,M,Adm-clerical,Federal-gov,HS-grad,9,Married-civ-spouse,Husband,White,Rest_world,NULL,33,144.35,11
126620622,M,Adm-clerical,Local-gov,Assoc-acdm,12,Never-married,Not-in-family,White,America,Wholesaler,1455,1958.87,46
126695401,F,Adm-clerical,State-gov,Some-college,10,Never-married,Own-child,White,America,Wholesaler,162,252.09,5
127186021,M,Other-service,Private,Some-college,10,Never-married,Not-in-family,White,America,NULL,165,178.41,2
128326819,F,Adm-clerical,Private,Some-college,10,Never-married,Own-child,White,America,NULL,176,343.29,7
129332289,M,Prof-specialty,Private,Doctorate,16,Never-married,Not-in-family,White,America,NULL,190,481.18,24
129809947,F,Prof-specialty,State-gov,HS-grad,9,Divorced,Unmarried,White,America,Wholesaler,55,217.47,15
130547993,F,Other-service,Self-emp-not-inc,HS-grad,9,Divorced,Unmarried,White,America,NULL,150,531.80,18
132715560,M,Prof-specialty,Private,Bachelors,13,Never-married,Not-in-family,White,America,NULL,38,64.23,30
133075924,M,Other-service,Self-emp-inc,HS-grad,9,Married-civ-spouse,Husband,White,America,Wholesaler,152,404.95,24
137068657,M,Sales,Self-emp-not-inc,Some-college,10,Separated,Not-in-family,White,America,NULL,236,1030.05,26
137894915,F,Adm-clerical,Private,Some-college,10,Divorced,Not-in-family,White,America,Wholesaler,48,88.40,6
138486085,M,Craft-repair,Private,HS-grad,9,Never-married,Not-in-family,White,America,NULL,133,336.96,55
138570374,M,Transport-moving,Private,HS-grad,9,Married-civ-spouse,Husband,White,America,Wholesaler,101,337.69,16
138815102,F,Handlers-cleaners,Private,HS-grad,9,Married-civ-spouse,Wife,White,America,NULL,354,823.53,37
139320077,M,Exec-managerial,Private,HS-grad,9,Married-civ-spouse,Husband,White,America,NULL,21,102.55,10
140175671,M,Farming-fishing,Private,HS-grad,9,Never-married,Not-in-family,White,America,NULL,670,464.42,43
142449353,M,Farming-fishing,Self-emp-not-inc,10th,6,Married-civ-spouse,Husband,White,America,NULL,59,165.56,18
142501913,M,Handlers-cleaners,Private,HS-grad,9,Married-civ-spouse,Husband,White,America,NULL,117,65.79,2
142509658,F,Other-service,Private,Some-college,10,Never-married,Not-in-family,White,America,NULL,30,118.00,10
143162605,M,Craft-repair,Private,HS-grad,9,Never-married,Not-in-family,White,America,NULL,22,114.71,7
145418728,M,Prof-specialty,Self-emp-not-inc,Masters,14,Married-civ-spouse,Husband,White,America,NULL,67,173.67,24
148095471,M,Prof-specialty,Local-gov,Bachelors,13,Never-married,Other-relative,Black,America,NULL,40,40.89,14
148265345,M,Protective-serv,Local-gov,HS-grad,9,Married-civ-spouse,Husband,White,America,NULL,35,64.47,20
148438239,M,Prof-specialty,Private,Masters,14,Married-civ-spouse,Husband,White,America,Wholesaler,1767,4094.22,58
148789894,M,Adm-clerical,Private,10th,6,Married-civ-spouse,Husband,White,America,NULL,-21,32.28,23
149421689,M,Other-service,Private,5th-6th,3,Divorced,Not-in-family,White,Rest_world,Wholesaler,379,569.99,60
150215654,M,Machine-op-inspct,Private,Some-college,10,Married-civ-spouse,Husband,White,America,Wholesaler,2563,3485.56,11
150619480,M,?,?,7th-8th,4,Divorced,Not-in-family,White,America,Wholesaler,509,1170.88,23
153084179,M,Other-service,Private,HS-grad,9,Never-married,Not-in-family,White,America,NULL,1333,2789.55,32
153825784,M,Craft-repair,Self-emp-inc,Bachelors,13,Married-civ-spouse,Husband,White,America,Personal,1507,2030.93,105
154523796,F,Sales,Private,HS-grad,9,Widowed,Not-in-family,White,America,NULL,57,167.99,20
155627886,M,Craft-repair,Self-emp-not-inc,Assoc-acdm,12,Married-civ-spouse,Husband,White,Rest_world,NULL,180,867.80,17
156162795,M,Other-service,Local-gov,10th,6,Married-civ-spouse,Husband,White,America,NULL,35,104.37,10
156950226,M,Protective-serv,Private,Bachelors,13,Divorced,Not-in-family,Black,America,Wholesaler,177,450.02,14
157486091,F,Exec-managerial,Local-gov,HS-grad,9,Never-married,Own-child,Amer-Indian-Eskimo,America,NULL,25,78.15,6
158113679,M,Craft-repair,Private,Assoc-voc,11,Never-married,Unmarried,White,America,NULL,62,98.26,26
158579012,M,Craft-repair,Local-gov,HS-grad,9,Married-civ-spouse,Husband,White,America,NULL,116,521.42,37
158987308,F,Transport-moving,Private,HS-grad,9,Separated,Unmarried,White,America,NULL,82,149.62,22
160255700,M,Sales,Self-emp-not-inc,Bachelors,13,Never-married,Not-in-family,White,America,NULL,152,453.66,54
163088112,M,Transport-moving,Private,7th-8th,4,Divorced,Not-in-family,White,America,NULL,671,819.12,50
164326730,M,Prof-specialty,Private,Masters,14,Married-civ-spouse,Husband,White,America,NULL,76,252.68,18
165785382,M,Sales,Private,Some-college,10,Never-married,Own-child,White,America,NULL,296,1312.45,27
165911176,M,Tech-support,Local-gov,Assoc-voc,11,Married-civ-spouse,Husband,White,America,Wholesaler,135,653.30,19
168402291,M,Transport-moving,Private,HS-grad,9,Married-civ-spouse,Husband,White,America,NULL,25,81.70,8
170898420,M,Machine-op-inspct,Private,HS-grad,9,Never-married,Not-in-family,White,America,NULL,127099,155692.41,125
172482755,M,Prof-specialty,Private,Bachelors,13,Married-civ-spouse,Husband,White,America,NULL,54,140.53,15
173205349,M,Prof-specialty,Private,Some-college,10,Married-civ-spouse,Husband,Black,Rest_world,NULL,329,856.91,28
174779392,M,Machine-op-inspct,Private,HS-grad,9,Married-civ-spouse,Husband,White,America,NULL,430,960.47,32
176350916,M,Exec-managerial,Private,Masters,14,Married-civ-spouse,Husband,White,America,NULL,404,1566.31,45
178693678,M,Adm-clerical,Private,HS-grad,9,Married-civ-spouse,Husband,White,America,Wholesaler,67,261.41,13
179338432,M,Craft-repair,Private,7th-8th,4,Married-civ-spouse,Husband,White,America,NULL,149,332.69,42
180141007,F,?,?,10th,6,Never-married,Own-child,White,America,NULL,359,1100.94,54
180218554,F,Handlers-cleaners,Private,HS-grad,9,Never-married,Unmarried,White,America,NULL,7105,4516.28,13
182149401,F,Prof-specialty,Private,Bachelors,13,Never-married,Not-in-family,White,America,NULL,208,957.65,4
182544969,M,Other-service,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Husband,White,America,NULL,1317,1173.89,84
182918209,F,Other-service,Private,Some-college,10,Never-married,Own-child,White,America,Wholesaler,2626,3295.83,150
184372270,F,Sales,Private,Bachelors,13,Married-civ-spouse,Wife,White,America,NULL,83,484.51,15
186611006,M,Sales,Private,HS-grad,9,Married-civ-spouse,Husband,White,Rest_world,NULL,66,146.42,19
187734911,F,Exec-managerial,Private,Assoc-acdm,12,Never-married,Not-in-family,White,America,NULL,283,923.96,48
188011825,M,Craft-repair,Private,Some-college,10,Married-civ-spouse,Husband,White,America,Wholesaler,614,2454.30,71
190933114,M,Exec-managerial,Private,HS-grad,9,Never-married,Own-child,Black,America,NULL,408,854.45,69
191626164,M,Craft-repair,Private,HS-grad,9,Married-civ-spouse,Husband,White,America,Wholesaler,261,627.15,39
192242397,M,Adm-clerical,Private,HS-grad,9,Married-civ-spouse,Husband,White,America,NULL,863,1149.98,38
192273980,F,Prof-specialty,Self-emp-not-inc,Prof-school,15,Divorced,Unmarried,White,America,NULL,39,80.79,16
192533002,F,Other-service,Private,7th-8th,4,Separated,Not-in-family,White,America,NULL,90,409.19,16
193161271,M,Tech-support,Private,HS-grad,9,Never-married,Own-child,White,America,NULL,274,437.23,49
193909537,M,Handlers-cleaners,Private,Some-college,10,Never-married,Not-in-family,White,America,NULL,99,224.48,19
197811965,M,Exec-managerial,Private,Bachelors,13,Married-civ-spouse,Husband,White,America,NULL,392,947.71,56
198355532,F,Adm-clerical,Private,HS-grad,9,Never-married,Own-child,White,America,Wholesaler,410,1012.99,68
199125172,M,Other-service,Private,Bachelors,13,Never-married,Own-child,White,America,Wholesaler,408,964.71,105
199427162,M,Craft-repair,Federal-gov,HS-grad,9,Married-civ-spouse,Husband,White,America,NULL,74,329.80,29
200059908,F,Machine-op-inspct,Private,11th,7,Divorced,Unmarried,White,America,NULL,98,341.84,15
203073790,M,Other-service,Private,HS-grad,9,Never-married,Not-in-family,White,America,NULL,478,2067.39,62
206030936,M,Sales,Private,HS-grad,9,Never-married,Not-in-family,White,America,NULL,10,20.67,7
206332116,M,Craft-repair,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Husband,White,America,NULL,4,34.00,1
206429624,F,Exec-managerial,Private,Prof-school,15,Married-civ-spouse,Wife,White,Rest_world,Wholesaler,327,1129.31,19
207733513,F,Protective-serv,State-gov,Some-college,10,Divorced,Unmarried,White,America,NULL,52,264.86,13
207817228,M,Exec-managerial,Self-emp-inc,Doctorate,16,Married-civ-spouse,Husband,White,America,Wholesaler,266,1077.42,24
208239158,F,Tech-support,Private,Assoc-acdm,12,Divorced,Not-in-family,White,America,Wholesaler,42,50.37,16
214531306,M,Tech-support,Private,Bachelors,13,Never-married,Not-in-family,White,America,NULL,190,642.99,18
215310543,M,Craft-repair,Private,HS-grad,9,Married-civ-spouse,Husband,White,America,NULL,49,76.91,19
219174264,M,Adm-clerical,Private,Some-college,10,Married-civ-spouse,Husband,Black,Rest_world,NULL,222,549.19,19
219365622,M,Machine-op-inspct,Private,HS-grad,9,Divorced,Own-child,White,America,NULL,-1,-4.50,1
222305958,F,Other-service,Private,HS-grad,9,Never-married,Not-in-family,White,America,NULL,196,255.59,50
222645315,F,Adm-clerical,Private,HS-grad,9,Married-civ-spouse,Wife,Asian-Pac-Islander,Rest_world,Wholesaler,1326,572.80,5
224265332,M,Transport-moving,Private,Bachelors,13,Never-married,Own-child,White,America,NULL,61,280.26,19
224786347,M,Machine-op-inspct,Private,HS-grad,9,Divorced,Not-in-family,Black,America,Wholesaler,543,-514.48,15
224921678,F,Other-service,Private,HS-grad,9,Never-married,Own-child,White,America,NULL,-2,-29.90,1
224927994,F,Priv-house-serv,Private,Some-college,10,Never-married,Not-in-family,White,Rest_world,Wholesaler,148,419.22,24
224950179,M,Exec-managerial,Local-gov,HS-grad,9,Divorced,Own-child,White,America,NULL,-36,-153.00,1
225518774,M,Exec-managerial,Private,Bachelors,13,Married-civ-spouse,Husband,White,America,Personal,252,723.33,52
225984303,M,Sales,Private,HS-grad,9,Never-married,Other-relative,White,America,NULL,240,892.38,40
226946225,F,Adm-clerical,Private,Bachelors,13,Never-married,Not-in-family,White,America,NULL,1297,2754.16,127
233129037,F,Other-service,Local-gov,HS-grad,9,Widowed,Unmarried,Amer-Indian-Eskimo,America,NULL,13,4576.20,1
233238645,F,Prof-specialty,Private,11th,7,Never-married,Own-child,White,America,NULL,2019,343.23,1
234628058,F,Machine-op-inspct,Private,HS-grad,9,Separated,Not-in-family,White,America,Wholesaler,1300,2731.55,83
235066229,F,Adm-clerical,Private,Assoc-voc,11,Divorced,Not-in-family,White,America,NULL,337,814.09,51
235729040,M,Sales,Private,Masters,14,Married-civ-spouse,Husband,White,America,Wholesaler,648,784.86,6
238128876,M,Farming-fishing,Private,Preschool,1,Never-married,Not-in-family,White,America,NULL,558,1263.45,26
238319928,F,Adm-clerical,Private,Some-college,10,Never-married,Unmarried,Black,America,NULL,223,525.14,66
239468168,F,Exec-managerial,Private,Assoc-acdm,12,Divorced,Unmarried,Black,Rest_world,Wholesaler,12761,16927.70,154
239520154,M,Craft-repair,Self-emp-not-inc,Assoc-acdm,12,Married-civ-spouse,Husband,White,America,NULL,39,108.53,29
240306643,F,Other-service,Private,Some-college,10,Never-married,Own-child,White,America,Wholesaler,475,1285.12,23
240648493,M,Handlers-cleaners,Private,11th,7,Married-civ-spouse,Own-child,White,America,NULL,126,280.88,26
240843979,F,Sales,Private,Some-college,10,Never-married,Own-child,White,America,NULL,404,524.51,30
240997877,M,Craft-repair,Self-emp-inc,7th-8th,4,Married-civ-spouse,Husband,White,America,NULL,32,69.75,5
242324801,F,Other-service,Private,Some-college,10,Never-married,Own-child,White,America,NULL,91,208.22,15
242380993,F,Adm-clerical,Private,Assoc-voc,11,Never-married,Own-child,White,America,Wholesaler,689,2791.99,59
243080219,M,Sales,Private,Masters,14,Married-civ-spouse,Husband,White,Rest_world,Wholesaler,390,1522.86,23
245666860,M,Craft-repair,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Husband,Black,Rest_world,NULL,6,29.70,1
246850940,M,Prof-specialty,State-gov,Masters,14,Married-civ-spouse,Husband,White,America,NULL,238,723.19,52
247913257,M,Protective-serv,State-gov,Some-college,10,Married-civ-spouse,Husband,White,America,NULL,10,56.30,3
248525912,M,Tech-support,State-gov,Some-college,10,Married-civ-spouse,Husband,White,America,NULL,974,1284.80,96
248626175,M,Craft-repair,Self-emp-not-inc,11th,7,Married-civ-spouse,Husband,White,America,NULL,34,60.80,19
249106885,F,?,?,HS-grad,9,Divorced,Unmarried,White,America,Personal,790,1579.95,53
250334220,F,Adm-clerical,Private,Some-college,10,Never-married,Unmarried,Black,America,NULL,103,173.82,32
250399993,F,Prof-specialty,Local-gov,Masters,14,Divorced,Unmarried,White,America,Wholesaler,239,1567.31,17
250970174,F,Adm-clerical,Federal-gov,Some-college,10,Divorced,Unmarried,Black,America,NULL,48,175.04,20
252317650,M,Sales,Private,Bachelors,13,Never-married,Not-in-family,White,America,NULL,37,131.13,14
252428298,M,Machine-op-inspct,Private,HS-grad,9,Divorced,Unmarried,White,America,NULL,18,74.28,8
252472711,F,Prof-specialty,Private,Doctorate,16,Never-married,Not-in-family,White,America,NULL,92,145.54,38
252490616,M,Exec-managerial,Self-emp-inc,Bachelors,13,Married-civ-spouse,Husband,White,America,NULL,470,1378.81,84
254529004,M,Craft-repair,Self-emp-not-inc,HS-grad,9,Never-married,Not-in-family,White,America,NULL,5,20.75,1
254710297,M,Prof-specialty,Private,Bachelors,13,Never-married,Own-child,Asian-Pac-Islander,Rest_world,Personal,47,247.15,15
256145370,F,Exec-managerial,Local-gov,Assoc-voc,11,Divorced,Not-in-family,White,America,NULL,207,544.63,15
257705046,M,Exec-managerial,Federal-gov,Masters,14,Married-civ-spouse,Husband,White,America,Wholesaler,623,991.23,54
258627611,M,Exec-managerial,State-gov,Bachelors,13,Married-civ-spouse,Husband,White,America,NULL,94,240.15,15
258892857,M,Farming-fishing,Private,11th,7,Divorced,Not-in-family,White,America,NULL,57369,75969.34,138
259406770,M,Craft-repair,Private,HS-grad,9,Married-civ-spouse,Husband,White,America,NULL,115,346.17,25
264508062,M,Prof-specialty,Local-gov,Bachelors,13,Divorced,Unmarried,White,America,Wholesaler,409,1289.17,42
264730999,M,?,?,Some-college,10,Never-married,Own-child,Black,America,NULL,152,292.41,29
268494410,M,Sales,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Husband,White,America,NULL,32,70.79,4
271078691,M,Handlers-cleaners,Private,Some-college,10,Never-married,Not-in-family,White,America,Wholesaler,82,198.12,13
272674695,M,Tech-support,Private,Some-college,10,Married-civ-spouse,Husband,White,America,NULL,261,731.43,23
272934191,M,Machine-op-inspct,Private,Some-college,10,Divorced,Not-in-family,White,America,NULL,20,98.60,4
273136312,F,Adm-clerical,Private,Masters,14,Never-married,Not-in-family,White,America,NULL,768,2053.27,131
273144359,F,Adm-clerical,Private,HS-grad,9,Never-married,Unmarried,Black,America,NULL,1528,3241.12,53
274311156,F,Other-service,Private,11th,7,Separated,Unmarried,Black,America,NULL,144,331.22,35
275258507,M,Transport-moving,Self-emp-not-inc,Bachelors,13,Divorced,Not-in-family,White,America,NULL,83,254.05,30
275666407,M,Other-service,Private,Some-college,10,Divorced,Not-in-family,White,America,Wholesaler,174,91.28,13
275855146,M,Adm-clerical,Private,Some-college,10,Never-married,Own-child,White,America,NULL,50,177.10,6
277522817,M,Craft-repair,Private,HS-grad,9,Married-civ-spouse,Husband,White,America,NULL,305,1351.40,10
278048938,F,Craft-repair,Self-emp-not-inc,1st-4th,2,Divorced,Not-in-family,White,America,NULL,10,29.63,10
278837589,M,Prof-specialty,Private,Bachelors,13,Married-civ-spouse,Husband,White,Rest_world,NULL,152,71.35,19
